taxonID,taxonomicStatus,taxonRank,scientificName,scientificNameAuthorship,parentNameUsageID,kingdom,phylum,class,order,family,genus,determined
9L5NL,synonym,variety,Pyrrhocactus echinus var. mino,F. Ritter,3B6W9,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
9Y65Z,synonym,species,Neoporteria ambig,(Hildm. ex K. Schum.) Backeb.,3TP8,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Copiapoa,True
MLN6,synonym,species,Borzicactus hempelianus,(Gürke) Donald,69K5,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Oreocereus,True
5TCSM,synonym,unranked,Mesechinopsis ,Y.Itô,93LST,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,,True
46QZW,synonym,species,Neoporteria robusta,F. Ritter,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
55CB7,synonym,species,Tephrocactus ferocior ,Backeb.,3XCL,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Cumulopuntia,True
73W4S,synonym,species,Neoporteria tuberisulcat,(Jacobi) Donald & G. D. Rowley,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
6S8GX,synonym,species,Neochilenia totoralensis,(F. Ritter) Backeb.,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
38KBN,synonym,species,Echinopsis bolligerian,Mächler & Helmut Walter,5TC39,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Leucostele ,True
9XSHY,ambiguous synonym,species,Cactus gibbosus,(Salm-Dyck) Kuntze,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
6SRNL,synonym,species,Opuntia poeppig,Otto ex Pfeiff.,5K95,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Maihuenia,True
9XX6K,synonym,species,Echinonyctanthus formosus ,Lawr.,8S8P8,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Soehrensia ,True
9YVKG,synonym,variety,Echinocactus geissei var. albicans ,Hildm.,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
5GLGT,synonym,subspecies,Copiapoa cinerea subsp. gigant,(Backeb.) Slaba,3TP8,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Copiapoa,True
Y4FN,synonym,species,Copiapoa montana,F. Ritter,Y4F7,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Copiapoa,True
9Y62W,synonym,species,Neochilenia ambigua,(Hildm. ex K. Schum.) Y. Itô,3TP8,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Copiapoa,True
6T3Q9,synonym,species,Opuntia soeh,Britton & Rose,7N9RM,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Airampoa ,True
4QVMP,synonym,species,Pyrrhocactus echinus,F. Ritter,3B6W9,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
38KLW,synonym,species,Echinopsis t,(Cárdenas) H. Friedrich & G. D. Rowley,5THMF,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Trichocereus,True
TZR9,synonym,species,Chilenia odieri,(Lem. ex Salm-Dyck) Backeb.,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
7TWC,accepted,genus,Tephrocactus ,Lem.,93LTC,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Tephrocactus ,False
3MQ8H,synonym,species,Horridocactus engl,F. Ritter,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
46CT3,synonym,species,Neochilenia aerocarp,(F. Ritter) Backeb.,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
4QVM3,synonym,species,Pyrrhocactus aricensis,F. Ritter,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
8MP5N,synonym,species,Philippicereus vallenarensis,(P. C. Guerrero & Helmut Walter) Guiggi,4FVL,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eulychnia ,True
Y4GD,synonym,species,Copiapoa totoralensis,F. Ritter,3TP8,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Copiapoa,True
9ZV6H,synonym,species,Neochilenia flaviflora,Y. Itô,3B6W9,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
5GQP4,synonym,subspecies,Cumulopuntia boliviana subsp. ignescens,(Vaupel) D. R. Hunt,3XCL,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Cumulopuntia,True
Y4FC,accepted,species,Copiapoa laui ,Diers,3TP8,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Copiapoa,True
74RKM,synonym,species,Opuntia conoidea,(F. Ritter) G. D. Rowley,5K96,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Maihueniopsis ,True
5X5B6,synonym,species,Cactus chiloensis ,Colla,6Q669,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Leucostele ,True
62RP4,accepted,genus,Eriosyce ,Phil.,93LST,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,False
6RWGX,synonym,species,Neochilenia transitensis,(F. Ritter) Backeb.,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
46QYD,synonym,species,Neoporteria floccosa,(F. Ritter) Lodé,3B6W9,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
748HH,synonym,species,Neochilenia dimorph,(F. Ritter) Backeb.,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
B28M7,synonym,species,Tephrocactus staffordi,(Bullock) Backeb.,3XCL,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Cumulopuntia,True
9ZTTH,synonym,species,Echinocactus hankeanu,C. F. Först.,3B6W9,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
9ZV8M,synonym,species,Opuntia philipp,F. Haage & E. Schmidt ex Bois,5K95,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Maihuenia,True
6QTB3,synonym,species,Maihuenia latispina,F. Ritter,5K95,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Maihuenia,True
5L8VS,synonym,subspecies,Sphaeropuntia sphaerica subsp. crassicylindr,(Rauh & Backeb.) Guiggi,3XCL,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Cumulopuntia,True
SXH6,synonym,species,Cereus pepinianus,Lem. ex Salm-Dyck,3TP8,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Copiapoa,True
9XTRG,synonym,species,Chilenia ambig,(Hildm. ex K. Schum.) Backeb.,3TP8,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Copiapoa,True
38KJD,synonym,species,Echinopsis puquiensis,(Rauh & Backeb.) H. Friedrich & G. D. Rowley,5THMF,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Trichocereus,True
5T9H7,synonym,unranked,Erdisia,Britton & Rose,93LST,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,,True
Y4FV,synonym,species,Copiapoa pseudocoquimbana,F. Ritter,3TP8,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Copiapoa,True
B7JGQ,synonym,subspecies,Copiapoa coquimbana subsp. vallenarensis,(F. Ritter) Doweld,3TP8,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Copiapoa,True
9Y747,synonym,species,Opuntia furiosa,H. L. Wendl.,3YBJ,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Cylindropuntia,True
6T3LM,synonym,species,Opuntia guatinensis,D. R. Hunt,3XCL,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Cumulopuntia,True
6GR6V,accepted,species,Eriosyce senilis,(Backeb.) Katt.,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
9Y62Z,synonym,species,Neochilenia hankean,(C. F. Först.) Dölz ex Backeb.,3B6W9,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
9Z3HX,synonym,species,Chileorebutia fulva,F. Ritter,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
B2PTF,accepted,subspecies,Leucostele atacamensis subsp. atacamensis,,6Q5TX,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Leucostele ,True
